Fraud_Label,High_Value_Flag,Round_Amount_Flag,Total_Fraud_Flags,Risk_Score
0,0,0,0,0.19438846666666665
1,0,0,2,0.2478960666666667
1,0,0,2,0.2958516
1,1,0,2,0.32213440000000004
1,0,0,2,0.29265253333333335
0,0,0,0,0.27663393333333336
0,0,0,0,0.19634926666666672
1,0,0,1,0.19787640000000004
0,0,0,0,0.19080686666666669
0,0,0,0,0.12778973333333335
0,1,0,1,0.25586106666666664
0,0,0,1,0.2695481333333334
1,0,0,1,0.30036160000000006
0,0,0,1,0.22407913333333335
0,0,0,0,0.10615173333333335
0,0,0,0,0.24502760000000004
0,0,0,1,0.15895273333333332
0,0,0,1,0.1725308
1,0,0,1,0.3285690666666667
0,0,0,0,0.2638160666666667
0,0,0,1,0.14428626666666666
1,1,0,3,0.5604971333333334
0,0,0,1,0.15061846666666667
0,0,0,0,0.2138464666666667
1,0,0,1,0.39317660000000004
0,0,0,0,0.2809628666666667
0,0,0,0,0.23984460000000002
0,0,0,1,0.39013146666666665
1,0,0,1,0.27973026666666667
0,0,0,0,0.3220186666666667
1,0,0,1,0.24539253333333336
1,0,0,1,0.27856833333333336
0,0,0,0,0.129493
0,0,0,1,0.12166613333333334
0,0,0,1,0.3216215333333333
0,0,0,0,0.30274886666666667
0,0,0,0,0.24241326666666668
0,0,0,0,0.11457133333333333
1,0,0,1,0.35767440000000006
0,0,0,0,0.160631
0,0,0,0,0.2253218
0,0,0,0,0.100329
0,0,0,0,0.2939594
1,0,0,2,0.409951
1,0,0,1,0.25231913333333333
0,0,0,1,0.2574772
0,0,0,0,0.07903946666666667
0,1,0,1,0.4164643333333334
0,0,0,1,0.19584900000000002
0,0,0,0,0.2981564666666667
0,0,0,0,0.12066246666666666
1,0,0,2,0.39456553333333333
0,0,0,0,0.16721746666666665
0,1,0,2,0.3935042
0,0,0,0,0.15076720000000002
0,1,0,1,0.5261980666666667
1,0,0,0,0.13546106666666669
0,0,0,0,0.13386426666666668
1,0,0,1,0.23943133333333336
0,0,0,0,0.30041493333333336
1,1,0,2,0.28914266666666666
0,0,0,0,0.20388520000000004
0,1,0,1,0.22758540000000002
0,1,0,2,0.36716613333333337
0,0,0,0,0.1866954666666667
0,0,0,0,0.17094653333333332
0,0,0,0,0.14473693333333335
0,0,0,0,0.2259538
0,0,0,0,0.21911286666666668
0,0,0,1,0.3118954666666667
0,0,0,1,0.4273287333333333
0,0,0,1,0.19301086666666667
0,0,0,1,0.26527080000000003
0,1,0,1,0.3401118666666667
0,0,0,0,0.264583
0,0,0,0,0.22168913333333337
0,1,0,1,0.45025160000000003
0,0,0,0,0.18803373333333337
0,0,0,0,0.13473226666666666
0,0,0,0,0.08833486666666666
0,0,0,1,0.2912368666666667
1,1,0,2,0.3334017333333333
1,0,0,1,0.2455994666666667
1,0,0,2,0.4224684000000001
0,0,0,0,0.12348013333333335
0,0,0,0,0.13229606666666668
1,0,0,1,0.2811472
0,0,0,0,0.1434686
0,0,0,0,0.20264106666666667
0,0,0,0,0.061059266666666674
0,0,0,0,0.12861886666666666
0,0,0,0,0.08988726666666667
0,0,0,1,0.30962413333333333
0,0,0,0,0.13926933333333333
0,0,0,0,0.13749493333333335
0,0,0,1,0.26772666666666667
0,0,0,0,0.41376806666666666
0,0,0,0,0.2611454
0,0,0,0,0.081967
0,0,0,0,0.21165846666666668
1,1,0,1,0.3033572666666666
1,1,0,1,0.2676732
0,0,0,0,0.21577486666666668
0,0,0,2,0.29838573333333335
1,0,0,0,0.18124093333333335
0,0,0,0,0.29554620000000004
0,0,0,1,0.15153413333333335
0,0,0,0,0.29669013333333333
0,0,0,0,0.27572813333333335
0,1,0,1,0.30369873333333336
1,1,0,2,0.3738193333333334
0,0,0,0,0.39692026666666663
0,0,0,1,0.2867998
0,0,0,0,0.19931353333333332
0,0,0,1,0.2984528666666667
1,0,0,1,0.30815200000000004
0,0,0,0,0.3088283333333333
0,1,0,1,0.43879466666666667
0,0,0,0,0.16179680000000002
0,1,0,1,0.4400784666666667
0,1,0,1,0.5613667333333333
0,0,0,0,0.3100465333333334
0,0,0,0,0.2256168666666667
0,0,0,0,0.17664333333333335
0,1,0,1,0.47758
1,0,0,2,0.3540534
1,0,0,1,0.37858
0,0,0,1,0.22986686666666667
0,0,0,1,0.09785519999999999
0,0,0,0,0.09307733333333335
0,0,0,0,0.14359046666666667
0,1,0,2,0.2608006
1,0,0,1,0.3303780666666667
0,0,0,1,0.3144922666666667
1,0,0,1,0.16124413333333334
0,0,0,0,0.056932533333333334
1,0,0,0,0.11690213333333334
0,0,0,0,0.11787846666666668
1,1,0,2,0.4740528666666667
1,1,0,1,0.32090660000000004
1,1,0,3,0.5136469333333333
0,0,0,0,0.2337766666666667
0,0,0,0,0.08052473333333335
1,0,0,1,0.21355880000000005
0,0,0,0,0.21575986666666666
0,0,0,1,0.17223013333333334
0,0,0,0,0.17789193333333334
0,1,0,1,0.33843933333333337
1,0,0,1,0.33244500000000005
0,0,0,0,0.2611760666666667
1,1,0,2,0.2720650666666667
1,0,0,2,0.35646120000000003
0,0,0,0,0.2996102666666667
0,0,0,0,0.2700582
1,1,0,1,0.4604667333333333
0,0,0,0,0.30263866666666667
0,0,0,0,0.3001728
0,0,0,0,0.30579613333333333
1,0,0,1,0.30423253333333333
0,0,0,0,0.2335242
0,0,0,0,0.2676637333333334
1,0,0,1,0.2015134666666667
0,0,0,1,0.1398734
0,0,0,1,0.4538902
0,0,0,1,0.18093273333333335
1,0,0,1,0.14360073333333334
1,0,0,0,0.2788857333333334
1,0,0,0,0.09478986666666667
1,0,0,1,0.168712
0,0,0,1,0.26884193333333334
0,0,0,0,0.18261293333333334
0,0,0,1,0.40057940000000003
1,0,0,1,0.3343893333333333
0,0,0,0,0.20684753333333333
0,0,0,0,0.26228286666666667
0,0,0,1,0.16486699999999999
0,0,0,2,0.22685673333333334
0,0,0,1,0.23919253333333335
1,0,0,1,0.25030613333333335
0,1,0,1,0.3825936666666667
0,0,0,0,0.3840872666666667
1,1,0,1,0.3202968666666667
1,0,0,1,0.19400146666666668
1,0,0,2,0.2398
0,0,0,0,0.19915626666666666
0,0,0,0,0.17156886666666668
0,1,0,1,0.4125672000000001
0,0,0,0,0.17250293333333333
1,0,0,1,0.12463866666666668
1,0,0,1,0.2602801333333334
0,0,0,0,0.2775090666666667
0,0,0,1,0.14605173333333335
0,0,0,1,0.28564860000000003
0,0,0,0,0.2735894666666667
0,0,0,2,0.2437600666666667
0,0,0,0,0.1363548
1,0,0,1,0.25553820000000005
0,0,0,0,0.17860560000000003
1,0,0,1,0.39773013333333335
0,0,0,0,0.297821
0,1,0,1,0.4447006666666667
1,1,0,3,0.510548
1,0,0,1,0.2132448666666667
0,1,0,2,0.30781653333333336
0,0,0,0,0.250647
0,0,0,0,0.2598046666666667
1,1,0,1,0.3370972666666667
0,0,0,0,0.20031266666666664
0,0,0,1,0.18814793333333332
0,0,0,0,0.10849073333333334
0,0,0,0,0.29070060000000003
0,0,0,1,0.2356304
0,0,0,1,0.13797900000000002
0,1,0,1,0.26712186666666665
0,0,0,0,0.2632389333333333
1,0,0,1,0.26317133333333337
0,0,0,1,0.18604120000000002
1,0,0,1,0.16622306666666667
0,0,0,1,0.2615248
0,1,0,2,0.3596392
1,0,0,1,0.25521513333333334
1,0,0,0,0.17923713333333333
1,0,0,0,0.26200920000000005
0,0,0,1,0.3149072666666667
0,0,0,0,0.3024766
1,0,0,1,0.3550102
0,0,0,0,0.2662239333333334
0,0,0,1,0.22164993333333335
0,0,0,1,0.29604993333333335
1,0,0,0,0.2985316
0,0,0,1,0.21421440000000003
0,0,0,1,0.22203673333333335
0,0,0,1,0.32976700000000003
0,0,0,0,0.15946193333333333
0,1,0,2,0.39896893333333333
0,0,0,1,0.3282810666666667
1,0,0,2,0.2787322
1,0,0,2,0.36267900000000003
1,0,0,1,0.25349926666666667
1,0,0,1,0.28098106666666667
0,0,0,0,0.27304246666666665
0,1,0,2,0.5017328666666667
1,1,0,3,0.4525998
0,0,0,0,0.19209933333333337
1,0,0,2,0.3569806666666667
1,0,0,0,0.1457776
0,0,0,0,0.24922846666666665
1,0,0,1,0.15756153333333334
0,0,0,1,0.22539386666666666
0,0,0,1,0.1919838
1,0,0,2,0.32888160000000005
1,0,0,0,0.2536146
0,0,0,0,0.2401898
0,0,0,0,0.20552093333333335
1,0,0,1,0.3282506666666667
1,0,0,0,0.1055982
1,1,0,2,0.26764486666666665
1,1,0,3,0.5316987333333334
1,0,0,0,0.1948618
1,0,0,0,0.1252346666666667
0,0,0,1,0.14883506666666668
1,0,0,1,0.3048882666666667
0,0,0,1,0.23580006666666667
0,0,0,0,0.23503000000000004
1,0,0,1,0.22301140000000003
1,0,0,1,0.24867720000000004
0,0,0,1,0.3385224666666667
1,0,0,2,0.3075964666666667
0,0,0,0,0.13527606666666667
1,1,0,1,0.4620898666666667
0,1,0,1,0.36825660000000005
1,0,0,1,0.36886573333333333
0,0,0,1,0.16391906666666667
0,0,0,0,0.21626826666666668
0,0,0,0,0.11910906666666668
0,0,0,0,0.18374659999999998
1,0,0,0,0.24901726666666665
0,0,0,0,0.11491193333333333
0,0,0,1,0.16663826666666665
0,0,0,1,0.2278482666666667
0,0,0,0,0.25478886666666667
0,0,0,0,0.2610464
1,0,0,0,0.23162886666666666
0,1,0,2,0.45172873333333335
1,1,0,2,0.4756645333333333
0,0,0,0,0.19898966666666668
1,0,0,0,0.1659690666666667
0,0,0,1,0.2866935333333333
0,0,0,1,0.37780900000000006
0,0,0,1,0.1769970666666667
0,0,0,0,0.2484356666666667
1,0,0,1,0.26852780000000004
0,0,0,0,0.2671528
1,0,0,1,0.28154086666666667
1,0,0,1,0.166346
0,0,0,0,0.24496746666666663
0,0,0,0,0.1445572
0,0,0,0,0.20106733333333338
1,0,0,2,0.32420313333333334
0,0,0,1,0.148347
0,0,0,0,0.1905936
0,0,0,0,0.20003906666666668
0,0,0,0,0.11028333333333334
1,0,0,1,0.32484620000000003
0,0,0,0,0.18229646666666666
0,0,0,1,0.1456346666666667
0,0,0,0,0.1627768666666667
0,0,0,0,0.13688173333333334
0,0,0,0,0.11201693333333335
0,0,0,0,0.1019882
0,0,0,0,0.1835106
0,0,0,0,0.18025033333333332
0,0,0,1,0.18965793333333333
0,0,0,1,0.28197466666666665
0,0,0,0,0.2901665333333333
0,0,0,1,0.24117446666666667
0,0,0,0,0.20128506666666668
1,0,0,2,0.23896840000000003
1,0,0,0,0.21696913333333334
1,0,0,0,0.25877646666666665
0,0,0,0,0.14808700000000002
1,0,0,1,0.25648713333333334
0,0,0,0,0.26805
0,0,0,0,0.06362093333333335
1,0,0,1,0.2877176
1,0,0,1,0.18098360000000002
0,0,0,0,0.10317566666666667
0,0,0,0,0.2156750666666667
1,0,0,1,0.20814673333333336
0,0,0,0,0.10280186666666669
1,0,0,0,0.2553536
0,0,0,0,0.209843
0,1,0,1,0.41700239999999994
0,0,0,1,0.3110621333333333
1,0,0,0,0.14562560000000002
1,0,0,1,0.20291826666666668
0,0,0,1,0.26545646666666667
1,0,0,1,0.1869538
0,0,0,0,0.21072480000000002
0,0,0,1,0.23634953333333333
0,0,0,0,0.17338486666666666
1,0,0,1,0.2771963333333334
0,0,0,0,0.23041673333333335
1,0,0,1,0.215568
1,0,0,1,0.2846013333333333
0,0,0,0,0.4198251333333334
1,0,0,1,0.23282533333333338
0,0,0,0,0.3034024666666667
1,0,0,0,0.3330902
0,0,0,0,0.35687226666666666
0,0,0,1,0.37341126666666663
1,0,0,2,0.3319862666666667
1,0,0,1,0.2751844
0,0,0,0,0.23234386666666668
0,0,0,1,0.29758100000000004
0,0,0,0,0.19071453333333332
0,1,0,2,0.43196860000000004
1,0,0,0,0.18851066666666666
1,0,0,2,0.31216886666666666
1,1,0,1,0.2304432666666667
0,0,0,1,0.21231300000000003
1,0,0,1,0.276295
0,0,0,0,0.2932294666666667
0,0,0,0,0.2610996666666667
0,0,0,0,0.19273533333333334
1,0,0,2,0.27378073333333336
1,1,0,2,0.5016738000000001
0,0,0,1,0.22574500000000003
1,0,0,1,0.16554066666666667
0,0,0,1,0.37252513333333337
1,0,0,1,0.3157493333333334
0,0,0,0,0.0791666
0,0,0,0,0.10105513333333334
1,0,0,1,0.2908889333333333
1,0,0,0,0.2957692666666667
0,1,0,1,0.3444976
0,0,0,0,0.12985393333333334
0,0,0,0,0.24547453333333338
0,0,0,0,0.2703549333333334
0,0,0,1,0.2984485333333333
0,0,0,0,0.1513998666666667
0,0,0,0,0.1338124
0,0,0,1,0.13532626666666667
0,0,0,0,0.33596966666666667
0,0,0,1,0.19375053333333334
0,0,0,0,0.16309986666666665
0,0,0,1,0.3183898666666667
0,0,0,0,0.22430753333333336
0,0,0,0,0.139088
0,0,0,1,0.19536406666666667
0,0,0,1,0.32619886666666664
0,0,0,0,0.20999860000000004
0,0,0,0,0.20882306666666667
1,0,0,2,0.3312258
1,0,0,1,0.24936940000000002
0,0,0,0,0.16584700000000002
0,1,0,2,0.2619822666666667
0,0,0,1,0.3656419333333334
0,0,0,0,0.1699006
1,0,0,1,0.34733060000000004
0,0,0,0,0.23672993333333334
0,0,0,0,0.18453260000000002
0,0,0,0,0.21107433333333336
1,1,0,3,0.474781
1,0,0,0,0.2166898
0,0,0,0,0.29220853333333335
0,0,0,0,0.19775633333333334
1,0,0,1,0.2993983333333333
0,0,0,1,0.16583746666666668
1,0,0,1,0.41536733333333337
0,0,0,1,0.39061060000000003
0,0,0,0,0.28325120000000004
1,0,0,0,0.05144800000000001
0,1,0,2,0.3532472
1,0,0,1,0.19013426666666672
0,0,0,0,0.07779113333333335
1,0,0,0,0.2686496
0,0,0,0,0.13826326666666666
1,0,0,1,0.1890164666666667
1,0,0,2,0.37518106666666673
0,0,0,0,0.11649440000000001
1,1,0,2,0.38014613333333336
0,0,0,0,0.3943953333333334
0,0,0,0,0.20476113333333337
0,0,0,0,0.2253428666666667
1,0,0,0,0.057502333333333336
0,0,0,1,0.23567359999999998
1,0,1,3,0.2322712
0,0,0,0,0.20612093333333334
0,1,0,2,0.5365955333333334
1,0,0,1,0.3165794
1,0,0,1,0.30962306666666667
0,0,0,1,0.29706373333333336
1,1,0,3,0.39869166666666667
0,0,0,0,0.28550586666666666
0,0,0,1,0.3790555333333334
0,0,0,0,0.16254860000000002
1,0,0,1,0.4242355333333334
0,1,0,1,0.44090833333333335
0,0,0,1,0.33046780000000003
1,0,0,2,0.4283676666666667
0,0,0,0,0.1761840666666667
0,0,0,0,0.24333960000000002
1,0,0,0,0.13044820000000001
0,0,0,0,0.2048316
1,0,0,1,0.3824862666666667
0,0,0,0,0.24981273333333337
0,0,0,0,0.28076593333333333
0,0,0,0,0.09939186666666668
0,0,0,0,0.21488593333333336
0,0,0,0,0.3198314
0,0,0,0,0.23957080000000003
0,0,0,0,0.297698
1,0,0,0,0.36569913333333337
1,0,0,1,0.37589513333333335
0,0,0,0,0.35304433333333335
0,1,0,1,0.24360780000000004
1,0,0,1,0.292122
1,0,0,0,0.1474414
0,0,0,1,0.297149
1,0,0,1,0.40335760000000004
0,0,0,0,0.19199159999999998
1,1,0,1,0.39995060000000004
0,0,0,1,0.18502140000000003
0,1,0,2,0.5478287333333334
1,1,0,2,0.5714146000000001
0,0,0,0,0.10089780000000001
0,0,0,0,0.22920079999999998
0,0,0,1,0.18077800000000002
1,0,0,2,0.3743047333333333
0,0,0,1,0.13805440000000002
0,0,0,0,0.22710180000000002
1,0,0,0,0.22965619999999998
0,0,0,1,0.2891997333333333
0,0,0,1,0.10435693333333335
0,0,0,0,0.2810470666666667
0,0,0,0,0.2967132666666667
0,0,0,1,0.24816000000000002
1,0,0,1,0.2455330666666667
0,1,0,2,0.4922149333333334
0,0,0,0,0.27923406666666667
0,0,0,0,0.16416680000000003
0,0,0,0,0.2564716
0,0,0,1,0.24729133333333334
0,0,0,0,0.30396866666666666
0,0,0,0,0.17298933333333336
0,0,0,0,0.2574439333333334
0,0,0,0,0.19136046666666667
0,1,0,1,0.3041148666666667
1,0,0,1,0.3075314
0,0,0,0,0.1433112666666667
1,1,0,2,0.47049860000000004
1,0,0,1,0.3450566666666667
1,0,0,2,0.4248696666666667
0,1,0,1,0.4440718666666667
0,0,0,0,0.07179666666666666
0,0,0,0,0.22665680000000005
0,0,0,0,0.31392853333333337
0,0,0,0,0.3498538
1,0,0,0,0.26499533333333336
1,0,0,1,0.21724186666666667
0,0,0,0,0.17531653333333336
0,0,0,0,0.23581713333333335
1,0,0,0,0.30499786666666673
0,0,0,0,0.11950126666666666
1,0,0,1,0.3908442000000001
0,0,0,1,0.24084413333333332
1,0,0,1,0.36357533333333336
0,0,0,0,0.2843232
1,0,0,0,0.1827458
0,0,0,1,0.18256093333333334
0,0,0,0,0.24688746666666667
1,0,0,0,0.12495353333333335
0,0,0,0,0.20507720000000002
0,0,0,0,0.17021580000000003
0,0,0,0,0.17539280000000002
0,0,0,1,0.22849086666666668
0,0,0,0,0.2576846
0,0,0,0,0.181764
1,0,0,1,0.2916720666666667
0,0,0,0,0.1733478666666667
0,0,0,0,0.2026686666666667
0,0,0,0,0.24541653333333333
0,0,0,0,0.2807270666666667
1,0,0,1,0.3814025333333334
0,1,0,2,0.42396273333333334
0,0,0,0,0.26194853333333334
0,0,0,1,0.327305
1,0,0,1,0.20232153333333336
0,0,0,2,0.27920406666666664
0,0,0,0,0.2641254
0,1,0,1,0.3777938666666667
0,0,0,0,0.2709978
0,0,0,1,0.15430606666666669
0,0,0,0,0.18796913333333334
0,0,0,1,0.29138413333333335
0,0,0,1,0.12787520000000002
0,0,0,0,0.252217
0,1,0,1,0.5409757333333334
0,0,0,0,0.185457
0,0,0,0,0.24451146666666668
0,0,0,1,0.1990496
0,1,0,2,0.3922547333333333
0,0,0,1,0.33048086666666665
0,0,0,0,0.2677262
0,0,0,1,0.2596678
0,0,0,1,0.29673120000000003
